Year,Date,Date_Ref,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,Sub-Measure,Variable,Geographic_Requirements,Geographic_Requirements_Text,Age_Requirements,Age_Requirements_Text,RQUIT_Requirements,RQUIT_Requirements_Text,Insurance_Requirements,Insurance_Requirements_Text,Pregnancy_Requirements,Pregnancy_Requirements_Text,Other_Requirements,Other_Requirements_Text,Unlimited_Sessions_Offered,Number_of_Sessions_Offered,Comments,GeoLocation,TopicTypeId,TopicId,MeasureID,SOURCE,SubMeasureID,DisplayOrder
2014,3,Jul-Sep,SD,South Dakota,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,Yes,Next 30 days,No,,No,,No,,No,1,,"(44.353130053000484, -100.3735306369997)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2014,1,Jan-Mar,NY,New York,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,No,,Yes,Next 30 days,No,,No,,No,,No,2,,"(42.82700103200045, -75.54397042699964)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2014,1,Jan-Mar,OK,Oklahoma,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,No,,No,,No,,No,,No,1,,"(35.47203135600046, -97.52107021399968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2013,4,Oct-Dec,KS,Kansas,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,Yes,13 years and older,No,,No,,Yes,Pregnant,No,,No,10,,"(38.34774030000045, -98.20078122699965)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2013,3,Jul-Sep,MA,Massachusetts,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,No,,No,,No,,No,,No,,No,5,,"(42.27687047000046, -72.08269067499964)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2013,2,Apr-Jun,ME,Maine,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,No,,No,,No,,No,,No,,No,1,,"(45.254228894000505, -68.98503133599962)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2013,2,Apr-Jun,SC,South Carolina,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,No,,No,,No,,No,,No,1,,"(33.998821303000454, -81.04537120699968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2013,1,Jan-Mar,MN,Minnesota,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,No,,No,,Yes,Uninsured or select insurance,No,,No,,No,5,,"(46.35564873600049, -94.79420050299967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2013,1,Jan-Mar,NC,North Carolina,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,No,,Yes,Next 30 days,No,,No,,No,,No,4,,"(35.466220975000454, -79.15925046299964)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2013,1,Jan-Mar,OK,Oklahoma,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,No,,No,,No,,No,,No,1,,"(35.47203135600046, -97.52107021399968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2012,2,Apr-Jun,MO,Missouri,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,18 years and older,Yes,Next 30 days or already quit,No,,No,,No,,No,1,,"(38.635790776000476, -92.56630005299968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2011,3,Jul-Sep,LA,Louisiana,Quitline,Services Available,Counseling,Amount of Counseling Offered,Low SES,Yes,Resident of state,Yes,18 years and older,Yes,Next 30 days,No,,No,,Yes,Low SES,No,5,,"(31.31266064400046, -92.44568007099969)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2010,4,Oct-Dec,MA,Massachusetts,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,No,,No,,No,,No,,No,,No,5,,"(42.27687047000046, -72.08269067499964)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2016,2,Apr-Jun,VA,Virginia,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,Yes,13 years and older,No,,No,,Yes,Pregnant,No,,No,10,,"(37.54268067400045, -78.45789046299967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2018,4,Oct-Dec,OK,Oklahoma,Quitline,Services Available,Counseling,Amount of Counseling Offered,Callers ages 13-17,Yes,Resident of state,Yes,Ages 13-17,Yes,Next 30 days,No,,No,,No,,No,5,,"(35.47203135600046, -97.52107021399968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2018,2,Apr-Jun,KY,Kentucky,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,Yes,15 years and older,No,,No,,Yes,Pregnant,No,,No,10,,"(37.645970271000465, -84.77497104799966)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2020,12,Jul-Dec,NV,Nevada,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,Yes,Next 30 days,Yes,Medicaid callers are offered quitline counseling and/or referred to their own services,No,,No,,No,5,"If callers would like more support, more counseling sessions are available.","(39.493240390000494, -117.07184056399967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2016,1,Jan-Mar,FL,Florida,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,Yes,11 years and older,No,,No,,Yes,Pregnant,No,,No,10,,"(28.932040377000476, -81.92896053899966)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2014,4,Oct-Dec,WA,Washington,Quitline,Services Available,Counseling,Amount of Counseling Offered,Uninsured,Yes,Resident of state,Yes,18 years and older,Yes,Next 30 days or already quit,Yes,Uninsured,No,,No,,No,1,,"(47.52227862900048, -120.47001078999972)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2017,3,Jul-Sep,DE,Delaware,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,18 years and older,Yes,Next 30 days,No,,No,,No,,No,5,,"(39.008830667000495, -75.57774116799965)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2017,1,Jan-Mar,MT,Montana,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,No,,No,,No,,No,,No,,No,5,"The program is complete at 5 calls, but quitline does not ever turn anyone away for counseling","(47.06652897200047, -109.42442064499971)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2018,1,Jan-Mar,ID,Idaho,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,No,,No,,No,,No,,No,5,,"(43.682630005000476, -114.3637300419997)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2015,1,Jan-Mar,NC,North Carolina,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,No,,Yes,Next 30 days,No,,Yes,Pregnant,No,,No,10,,"(35.466220975000454, -79.15925046299964)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2015,2,Apr-Jun,GA,Georgia,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,No,,No,,No,,No,,No,5,,"(32.83968109300048, -83.62758034599966)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2012,2,Apr-Jun,CO,Colorado,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,Yes,15 years and older,No,,No,,Yes,Pregnant,No,,No,9,,"(38.843840757000464, -106.13361092099967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2017,2,Apr-Jun,MI,Michigan,Quitline,Services Available,Counseling,Amount of Counseling Offered,Cancer patients,Yes,Resident of state,No,,Yes,Next 30 days,No,,No,,Yes,Cancer patients,No,4,,"(44.6613195430005, -84.71439026999968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2012,2,Apr-Jun,GU,Guam,Quitline,Services Available,Counseling,Amount of Counseling Offered,Uninsured,Yes,Resident of state,Yes,11 years and older,Yes,Next 30 days,Yes,Uninsured,No,,No,,No,5,,"(13.444304, 144.793731)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2015,4,Oct-Dec,VT,Vermont,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,Yes,Next 30 days,No,,No,,No,,No,5,,"(43.62538123900049, -72.51764079099962)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2018,3,Jul-Sep,OR,Oregon,Quitline,Services Available,Counseling,Amount of Counseling Offered,CAREAssist members (supplemental insurance for people with HIV/AIDS),Yes,Resident of state,Yes,18 years and older,Yes,Next 30 days,Yes,CAREAssist members (supplemental insurance for people with HIV/AIDS),No,,No,,No,4,,"(44.56744942400047, -120.15503132599969)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2011,3,Jul-Sep,AL,Alabama,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,No,,Yes,Next 30 days,No,,No,,No,,No,5,,"(32.84057112200048, -86.63186076199969)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2011,4,Oct-Dec,FL,Florida,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,Yes,11 years and older,No,,No,,Yes,Pregnant,No,,No,10,,"(28.932040377000476, -81.92896053899966)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2012,4,Oct-Dec,IN,Indiana,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,18 years and older,No,,No,,No,,No,,No,4,,"(39.766910452000445, -86.14996019399968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2016,4,Oct-Dec,WA,Washington,Quitline,Services Available,Counseling,Amount of Counseling Offered,Select contracted managed care insurance plans,Yes,Resident of state,Yes,12 years and older,Yes,Next 30 days or already quit,Yes,5 contracted managed care insurance plans,No,,No,,No,8,Four quit attempts up to twice a year,"(47.52227862900048, -120.47001078999972)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2017,3,Jul-Sep,IL,Illinois,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,18 years and older,No,,No,,No,,No,,Yes,,,"(40.48501028300046, -88.99771017799969)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2017,1,Jan-Mar,TN,Tennessee,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,Yes,Next 30 days,No,,No,,No,,No,8,,"(35.68094058000048, -85.77449091399967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2016,2,Apr-Jun,MN,Minnesota,Quitline,Services Available,Counseling,Amount of Counseling Offered,Underinsured,Yes,Resident of state,No,,No,,Yes,Underinsured,No,,No,,No,5,,"(46.35564873600049, -94.79420050299967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2012,4,Oct-Dec,CT,Connecticut,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,Yes,13 years and older,Yes,Next 30 days,No,,Yes,Pregnant,No,,No,10,,"(41.56266102000046, -72.64984095199964)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2017,3,Jul-Sep,OR,Oregon,Quitline,Services Available,Counseling,Amount of Counseling Offered,Private insurance,Yes,Resident of state,Yes,18 years and older,Yes,Next 30 days,Yes,Private insurance,No,,No,,No,1,,"(44.56744942400047, -120.15503132599969)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2018,4,Oct-Dec,NE,Nebraska,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,16 years and older,No,,No,,No,,No,,No,5,,"(41.6410409880005, -99.36572062299967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2013,1,Jan-Mar,NV,Nevada,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,18 years and older,Yes,Next 30 days,No,,No,,No,,No,1,Additional sessions available to callers enrolled in nicotine dependence treatment program,"(39.493240390000494, -117.07184056399967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2010,3,Jul-Sep,WV,West Virginia,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,No,,No,,No,,No,,No,,No,4,,"(38.66551020200046, -80.71264013499967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2015,2,Apr-Jun,AL,Alabama,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,No,,Yes,Next 30 days,No,,Yes,Pregnant,No,,No,8,,"(32.84057112200048, -86.63186076199969)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2012,3,Jul-Sep,LA,Louisiana,Quitline,Services Available,Counseling,Amount of Counseling Offered,Low SES,Yes,Resident of state,Yes,18 years and older,Yes,Next 30 days,No,,No,,Yes,Low SES,No,5,,"(31.31266064400046, -92.44568007099969)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2018,1,Jan-Mar,FL,Florida,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,11 years and older,No,,No,,No,,No,,No,3,,"(28.932040377000476, -81.92896053899966)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2017,2,Apr-Jun,GA,Georgia,Quitline,Services Available,Counseling,Amount of Counseling Offered,Callers ages 13-17,Yes,Resident of state,Yes,Ages 13-17,No,,No,,No,,No,,No,5,,"(32.83968109300048, -83.62758034599966)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2010,3,Jul-Sep,OK,Oklahoma,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,Yes,18 years and older,Yes,Next 30 days,No,,Yes,Pregnant,No,,No,10,,"(35.47203135600046, -97.52107021399968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2015,2,Apr-Jun,WI,Wisconsin,Quitline,Services Available,Counseling,Amount of Counseling Offered,Medicaid,Yes,Resident of state,Yes,13 years and older,No,,Yes,Medicaid,No,,No,,No,5,Limited time offer until funds run out,"(44.39319117400049, -89.81637074199966)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2017,3,Jul-Sep,MO,Missouri,Quitline,Services Available,Counseling,Amount of Counseling Offered,Not ready to quit in the next 30 days,Yes,Resident of state,Yes,18 years and older,No,,No,,No,,No,,No,1,,"(38.635790776000476, -92.56630005299968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2011,1,Jan-Mar,MI,Michigan,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,Yes,Next 30 days or already quit (within the last 30 days),Yes,Uninsured or select insurance,No,,No,,No,5,,"(44.6613195430005, -84.71439026999968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2020,6,Jan-Jun,DE,Delaware,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,18 years and older,Yes,Next 30 days,No,,No,,No,,No,5,,"(39.008830667000495, -75.57774116799965)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2015,1,Jan-Mar,WY,Wyoming,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,12 years and older,No,,No,,No,,No,,No,5,,"(43.23554134300048, -108.10983035299967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2016,4,Oct-Dec,NE,Nebraska,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,Yes,16 years and older,No,,No,,Yes,Pregnant,No,,No,10,,"(41.6410409880005, -99.36572062299967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2017,4,Oct-Dec,HI,Hawaii,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,Yes,13 years and older,Yes,Next 30 days,No,,Yes,Pregnant,No,,No,12,Includes 2 postpartum contacts; No NRT given,"(21.304850435000446, -157.85774940299973)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2016,1,Jan-Mar,SC,South Carolina,Quitline,Services Available,Counseling,Amount of Counseling Offered,Pregnant,Yes,Resident of state,Yes,13 years and older,No,,No,,Yes,Pregnant,No,,No,10,,"(33.998821303000454, -81.04537120699968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2016,1,Jan-Mar,VA,Virginia,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,No,,No,,No,,No,,No,1,,"(37.54268067400045, -78.45789046299967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2011,3,Jul-Sep,FL,Florida,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,11 years and older,No,,No,,No,,No,,No,4,,"(28.932040377000476, -81.92896053899966)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2014,3,Jul-Sep,IA,Iowa,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,13 years and older,No,,No,,No,,No,,No,1,,"(42.46940091300047, -93.81649055599968)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2012,3,Jul-Sep,MD,Maryland,Quitline,Services Available,Counseling,Amount of Counseling Offered,All Eligible Callers,Yes,Resident of state,Yes,18 years and older,Yes,Next 30 days,No,,No,,No,,No,4,,"(39.29058096400047, -76.60926011099963)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2011,4,Oct-Dec,GU,Guam,Quitline,Services Available,Counseling,Amount of Counseling Offered,Medicaid,Yes,Resident of state,Yes,11 years and older,Yes,Next 30 days,Yes,Medicaid,No,,No,,No,5,,"(13.444304, 144.793731)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
2014,1,Jan-Mar,MN,Minnesota,Quitline,Services Available,Counseling,Amount of Counseling Offered,Underinsured,Yes,Resident of state,No,,No,,Yes,Underinsured,No,,No,,No,5,Insured but with no cessation benefits,"(46.35564873600049, -94.79420050299967)",QUI,900QUI,914PRO,"National Quitline Data Warehouse, Office on Smoking and Health (NQDW OSH)",QUT03,3
